19:33:47:639 [Information Program] Boiling, You're just a miserable copy of me!
00:19:39:939 [Information Program] Boiling, You're just a miserable copy of me!
00:19:39:955 [Fatal Program] No, I'm the upgrade!
00:19:53:296 [Information Program] Boiling, You're just a miserable copy of me!
00:19:53:315 [Fatal Program] No, I'm the upgrade!
00:21:25:522 [Information Program] Boiling, You're just a miserable copy of me!
00:21:25:538 [Fatal Program] No, I'm the upgrade!
00:21:42:202 [Information Program] Boiling, You're just a miserable copy of me!
00:21:42:218 [Fatal Program] No, I'm the upgrade!
00:22:46:665 [Information Program] Boiling, You're just a miserable copy of me!
00:22:46:681 [Fatal Program] No, I'm the upgrade!
00:23:27:760 [Information Program] Boiling, You're just a miserable copy of me!
00:23:27:776 [Fatal Program] No, I'm the upgrade!
00:24:10:967 [Information Program] Boiling, You're just a miserable copy of me!
00:24:10:983 [Fatal Program] No, I'm the upgrade!
00:25:01:243 [Information Program] Boiling, You're just a miserable copy of me!
00:25:01:259 [Fatal Program] No, I'm the upgrade!
00:32:17:822 [Information Program] Boiling, You're just a miserable copy of me!
00:32:17:837 [Fatal Program] No, I'm the upgrade!
00:34:20:504 [Information Program] Boiling, You're just a miserable copy of me!
00:34:20:520 [Fatal Program] No, I'm the upgrade!
19:54:44:825 [Information Program] Boiling, You're just a miserable copy of me!
19:54:44:849 [Fatal Program] No, I'm the upgrade!
21:29:53:889 [Information Program] Boiling, You're just a miserable copy of me!
21:29:53:909 [Fatal Program] No, I'm the upgrade!
23:24:34:272 [Information Program] Boiling, You're just a miserable copy of me!
23:24:34:293 [Fatal Program] No, I'm the upgrade!
00:42:38:449 [Information Program] Boiling, You're just a miserable copy of me!
00:42:38:473 [Fatal Program] No, I'm the upgrade!
00:42:39:502 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.965804E-004, expected: 1.000000E-015. Max iterations: 1000
00:42:40:034 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 6.532945E-004, expected: 1.000000E-015. Max iterations: 1000
00:42:46:818 [Information Program] Boiling, You're just a miserable copy of me!
00:42:46:834 [Fatal Program] No, I'm the upgrade!
00:45:54:098 [Information Program] Boiling, You're just a miserable copy of me!
00:45:54:114 [Fatal Program] No, I'm the upgrade!
00:53:27:578 [Information Program] Boiling, You're just a miserable copy of me!
00:53:27:600 [Fatal Program] No, I'm the upgrade!
00:59:22:949 [Information Program] Boiling, You're just a miserable copy of me!
00:59:22:967 [Fatal Program] No, I'm the upgrade!
00:59:51:424 [Information Program] Boiling, You're just a miserable copy of me!
00:59:51:442 [Fatal Program] No, I'm the upgrade!
09:16:07:909 [Information Program] Boiling, You're just a miserable copy of me!
09:16:07:926 [Fatal Program] No, I'm the upgrade!
09:18:08:473 [Information Program] Boiling, You're just a miserable copy of me!
09:18:08:575 [Fatal Program] No, I'm the upgrade!
09:21:17:599 [Information Program] Boiling, You're just a miserable copy of me!
09:21:17:615 [Fatal Program] No, I'm the upgrade!
09:24:42:306 [Information Program] Boiling, You're just a miserable copy of me!
09:24:42:324 [Fatal Program] No, I'm the upgrade!
09:26:43:536 [Information Program] Boiling, You're just a miserable copy of me!
09:26:43:557 [Fatal Program] No, I'm the upgrade!
09:30:34:739 [Information Program] Boiling, You're just a miserable copy of me!
09:30:34:755 [Fatal Program] No, I'm the upgrade!
09:36:20:190 [Information Program] Boiling, You're just a miserable copy of me!
09:36:20:207 [Fatal Program] No, I'm the upgrade!
10:14:43:644 [Information Program] Boiling, You're just a miserable copy of me!
10:14:43:700 [Fatal Program] No, I'm the upgrade!
13:02:23:459 [Information Program] Boiling, You're just a miserable copy of me!
13:02:23:572 [Fatal Program] No, I'm the upgrade!
13:23:40:573 [Information Program] Boiling, You're just a miserable copy of me!
13:23:40:593 [Fatal Program] No, I'm the upgrade!
17:13:31:968 [Information Program] Boiling, You're just a miserable copy of me!
17:13:31:991 [Fatal Program] No, I'm the upgrade!
20:16:15:485 [Information Program] Boiling, You're just a miserable copy of me!
20:16:15:518 [Fatal Program] No, I'm the upgrade!
20:23:02:697 [Information Program] Boiling, You're just a miserable copy of me!
20:23:03:041 [Fatal Program] No, I'm the upgrade!
20:23:44:460 [Information Program] Boiling, You're just a miserable copy of me!
20:23:44:482 [Fatal Program] No, I'm the upgrade!
20:24:50:218 [Information Program] Boiling, You're just a miserable copy of me!
20:24:50:257 [Fatal Program] No, I'm the upgrade!
20:26:13:918 [Information Program] Boiling, You're just a miserable copy of me!
20:26:14:009 [Fatal Program] No, I'm the upgrade!
20:29:18:201 [Information Program] Boiling, You're just a miserable copy of me!
20:29:18:318 [Fatal Program] No, I'm the upgrade!
20:30:59:304 [Information Program] Boiling, You're just a miserable copy of me!
20:30:59:327 [Fatal Program] No, I'm the upgrade!
20:31:29:331 [Information Program] Boiling, You're just a miserable copy of me!
20:31:29:401 [Fatal Program] No, I'm the upgrade!
20:35:37:661 [Information Program] Boiling, You're just a miserable copy of me!
20:35:37:684 [Fatal Program] No, I'm the upgrade!
20:35:38:689 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.390779E-001, expected: 1.000000E-015. Max iterations: 1000
20:35:39:207 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.711516E-001, expected: 1.000000E-015. Max iterations: 1000
20:35:39:721 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.373279E-001, expected: 1.000000E-015. Max iterations: 1000
20:35:40:234 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.212045E-001, expected: 1.000000E-015. Max iterations: 1000
20:35:40:750 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.149272E-001, expected: 1.000000E-015. Max iterations: 1000
20:35:41:271 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.142931E-001, expected: 1.000000E-015. Max iterations: 1000
20:35:45:084 [Information Program] Boiling, You're just a miserable copy of me!
20:35:45:100 [Fatal Program] No, I'm the upgrade!
20:37:08:103 [Information Program] Boiling, You're just a miserable copy of me!
20:37:08:143 [Fatal Program] No, I'm the upgrade!
20:37:19:787 [Information Program] Boiling, You're just a miserable copy of me!
20:37:19:815 [Fatal Program] No, I'm the upgrade!
20:38:43:916 [Information Program] Boiling, You're just a miserable copy of me!
20:38:43:934 [Fatal Program] No, I'm the upgrade!
20:39:52:616 [Information Program] Boiling, You're just a miserable copy of me!
20:39:52:634 [Fatal Program] No, I'm the upgrade!
20:46:08:107 [Information Program] Boiling, You're just a miserable copy of me!
20:46:08:123 [Fatal Program] No, I'm the upgrade!
20:49:12:471 [Information Program] Boiling, You're just a miserable copy of me!
20:49:12:488 [Fatal Program] No, I'm the upgrade!
20:51:09:813 [Information Program] Boiling, You're just a miserable copy of me!
20:51:09:829 [Fatal Program] No, I'm the upgrade!
20:51:10:754 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.839974E-002, expected: 1.000000E-015. Max iterations: 1000
20:51:11:288 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.611429E-002, expected: 1.000000E-015. Max iterations: 1000
20:51:11:803 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.575085E-003, expected: 1.000000E-015. Max iterations: 1000
20:51:12:324 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 9.708596E-003, expected: 1.000000E-015. Max iterations: 1000
20:51:12:845 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 6.696498E-002, expected: 1.000000E-015. Max iterations: 1000
20:51:20:394 [Information Program] Boiling, You're just a miserable copy of me!
20:51:20:410 [Fatal Program] No, I'm the upgrade!
20:51:52:748 [Information Program] Boiling, You're just a miserable copy of me!
20:51:52:765 [Fatal Program] No, I'm the upgrade!
20:52:12:328 [Information Program] Boiling, You're just a miserable copy of me!
20:52:12:346 [Fatal Program] No, I'm the upgrade!
20:52:13:287 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.395797E-008, expected: 1.000000E-015. Max iterations: 1000
20:52:13:771 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.760104E-006, expected: 1.000000E-015. Max iterations: 1000
20:52:14:285 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.020415E-007, expected: 1.000000E-015. Max iterations: 1000
20:52:14:809 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.111295E-007, expected: 1.000000E-015. Max iterations: 1000
20:52:15:326 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.115568E-007, expected: 1.000000E-015. Max iterations: 1000
20:52:15:837 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.115713E-007, expected: 1.000000E-015. Max iterations: 1000
20:52:16:349 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.115716E-007, expected: 1.000000E-015. Max iterations: 1000
20:52:16:860 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.115718E-007, expected: 1.000000E-015. Max iterations: 1000
20:52:22:284 [Information Program] Boiling, You're just a miserable copy of me!
20:52:22:305 [Fatal Program] No, I'm the upgrade!
20:52:23:320 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.669418E-006, expected: 1.000000E-015. Max iterations: 1000
20:52:23:836 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.281911E-007, expected: 1.000000E-015. Max iterations: 1000
20:52:24:356 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.488213E-007, expected: 1.000000E-015. Max iterations: 1000
20:52:29:925 [Information Program] Boiling, You're just a miserable copy of me!
20:52:29:941 [Fatal Program] No, I'm the upgrade!
20:52:30:884 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 6.446190E-003, expected: 1.000000E-015. Max iterations: 1000
20:52:31:405 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.052323E-004, expected: 1.000000E-015. Max iterations: 1000
20:52:31:929 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.569944E-004, expected: 1.000000E-015. Max iterations: 1000
20:52:37:226 [Information Program] Boiling, You're just a miserable copy of me!
20:52:37:242 [Fatal Program] No, I'm the upgrade!
20:52:38:169 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.670891E-001, expected: 1.000000E-015. Max iterations: 1000
20:52:38:687 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.818529E-002, expected: 1.000000E-015. Max iterations: 1000
20:52:39:209 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.530437E-001, expected: 1.000000E-015. Max iterations: 1000
20:52:44:644 [Information Program] Boiling, You're just a miserable copy of me!
20:52:44:660 [Fatal Program] No, I'm the upgrade!
21:01:31:834 [Information Program] Boiling, You're just a miserable copy of me!
21:01:31:851 [Fatal Program] No, I'm the upgrade!
21:10:50:589 [Information Program] Boiling, You're just a miserable copy of me!
21:10:50:606 [Fatal Program] No, I'm the upgrade!
21:10:51:804 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.277840E-005, expected: 1.000000E-015. Max iterations: 1000
21:10:52:327 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.236368E-004, expected: 1.000000E-015. Max iterations: 1000
21:10:52:853 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 4.852905E-006, expected: 1.000000E-015. Max iterations: 1000
21:10:53:377 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.610081E-006, expected: 1.000000E-015. Max iterations: 1000
21:11:13:931 [Information Program] Boiling, You're just a miserable copy of me!
21:11:13:947 [Fatal Program] No, I'm the upgrade!
21:11:15:244 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.574798E-003, expected: 1.000000E-015. Max iterations: 1000
21:11:15:768 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.705692E-003, expected: 1.000000E-015. Max iterations: 1000
21:11:16:291 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.896895E-003, expected: 1.000000E-015. Max iterations: 1000
21:11:26:210 [Information Program] Boiling, You're just a miserable copy of me!
21:11:26:227 [Fatal Program] No, I'm the upgrade!
21:11:27:475 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.915386E-005, expected: 1.000000E-015. Max iterations: 1000
21:11:28:000 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.013464E-005, expected: 1.000000E-015. Max iterations: 1000
21:11:28:521 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.172266E-003, expected: 1.000000E-015. Max iterations: 1000
21:11:29:046 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.121948E-004, expected: 1.000000E-015. Max iterations: 1000
21:11:29:573 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.250511E-004, expected: 1.000000E-015. Max iterations: 1000
21:11:30:095 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.025118E-003, expected: 1.000000E-015. Max iterations: 1000
21:11:30:623 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 4.907824E-002, expected: 1.000000E-015. Max iterations: 1000
21:11:31:148 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.159650E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:31:668 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.181309E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:32:200 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.351618E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:32:721 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 9.419956E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:33:240 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.550837E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:33:762 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.834735E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:34:287 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.777276E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:34:874 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 6.494503E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:35:513 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.978812E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:36:110 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.628090E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:36:637 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.156042E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:37:162 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.049637E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:37:697 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.311852E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:38:230 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 4.643720E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:38:772 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.448472E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:39:325 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 4.347458E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:39:858 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.567745E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:40:398 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 4.124813E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:40:961 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.671349E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:41:496 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.953807E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:42:028 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.760874E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:42:550 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.820287E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:43:077 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.837844E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:43:609 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.714718E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:44:138 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.903711E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:44:667 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.630433E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:45:187 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.959838E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:45:731 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.562627E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:46:290 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.007486E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:46:819 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.507748E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:47:351 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.047802E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:47:893 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.463119E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:48:419 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.081816E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:48:957 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.426685E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:49:512 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.110442E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:50:050 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.396850E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:50:666 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.134483E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:51:390 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.372357E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:51:915 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.154637E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:52:441 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.352208E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:52:962 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.171506E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:53:486 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.335605E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:54:010 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.185608E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:54:543 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.321906E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:55:102 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.197384E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:55:684 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.310589E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:56:219 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.207208E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:56:745 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.301233E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:57:276 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.215398E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:57:823 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.293491E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:58:383 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.222222E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:58:914 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.287081E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:59:453 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.227903E-001, expected: 1.000000E-015. Max iterations: 1000
21:11:59:973 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.281771E-001, expected: 1.000000E-015. Max iterations: 1000
21:12:00:505 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.232632E-001, expected: 1.000000E-015. Max iterations: 1000
21:12:01:098 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.277370E-001, expected: 1.000000E-015. Max iterations: 1000
21:12:01:621 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.236567E-001, expected: 1.000000E-015. Max iterations: 1000
21:12:02:142 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.273721E-001, expected: 1.000000E-015. Max iterations: 1000
21:12:02:663 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.239839E-001, expected: 1.000000E-015. Max iterations: 1000
21:12:03:185 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.270696E-001, expected: 1.000000E-015. Max iterations: 1000
21:12:03:707 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.242560E-001, expected: 1.000000E-015. Max iterations: 1000
21:12:04:227 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.268186E-001, expected: 1.000000E-015. Max iterations: 1000
21:12:04:753 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.244822E-001, expected: 1.000000E-015. Max iterations: 1000
21:12:05:290 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.266104E-001, expected: 1.000000E-015. Max iterations: 1000
21:12:06:905 [Information Program] Boiling, You're just a miserable copy of me!
21:12:06:921 [Fatal Program] No, I'm the upgrade!
21:13:39:448 [Information Program] Boiling, You're just a miserable copy of me!
21:13:39:464 [Fatal Program] No, I'm the upgrade!
21:13:42:781 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.915386E-005, expected: 1.000000E-015. Max iterations: 5000
21:13:45:377 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.013464E-005, expected: 1.000000E-015. Max iterations: 5000
21:13:55:724 [Information Program] Boiling, You're just a miserable copy of me!
21:13:55:740 [Fatal Program] No, I'm the upgrade!
23:10:13:665 [Information Program] Boiling, You're just a miserable copy of me!
23:10:13:686 [Fatal Program] No, I'm the upgrade!
11:05:03:392 [Information Program] Boiling, You're just a miserable copy of me!
11:05:03:414 [Fatal Program] No, I'm the upgrade!
11:12:41:651 [Information Program] Boiling, You're just a miserable copy of me!
11:12:41:752 [Fatal Program] No, I'm the upgrade!
11:13:11:526 [Information Program] Boiling, You're just a miserable copy of me!
11:13:11:545 [Fatal Program] No, I'm the upgrade!
11:40:07:737 [Information Program] Boiling, You're just a miserable copy of me!
11:40:07:753 [Fatal Program] No, I'm the upgrade!
11:40:08:631 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.390779E-001, expected: 1.000000E-015. Max iterations: 1000
11:40:09:169 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.711516E-001, expected: 1.000000E-015. Max iterations: 1000
11:40:09:706 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.373279E-001, expected: 1.000000E-015. Max iterations: 1000
11:40:10:249 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.212045E-001, expected: 1.000000E-015. Max iterations: 1000
11:40:10:782 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.149272E-001, expected: 1.000000E-015. Max iterations: 1000
11:40:11:319 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.142931E-001, expected: 1.000000E-015. Max iterations: 1000
11:40:16:529 [Information Program] Boiling, You're just a miserable copy of me!
11:40:16:545 [Fatal Program] No, I'm the upgrade!
11:41:05:585 [Information Program] Boiling, You're just a miserable copy of me!
11:41:05:602 [Fatal Program] No, I'm the upgrade!
